codrpp,artdec,comdec,letdec,artleg,comleg,letleg,codleg,codvar,recatt
1,24,1,,316-bis,,,6,,t
2,24,1,,316-ter,,,6,,t
3,24,1,,356,,,6,,t
4,24,1,,640,2,1,6,,t
5,24,1,,640-bis,,,6,,t
6,24,1,,640-ter,,,6,10,t
7,24,2-bis,,2,,,20,,t
8,24,2,,316-bis,,,6,7,t
9,24,2,,316-ter,,,6,7,t
10,24,2,,356,,,6,7,t
11,24,2,,640,2,1,6,7,t
12,24,2,,640-bis,,,6,7,t
13,24,2,,640-ter,,,6,7,t
14,24,2-bis,,2,,,20,7,t
15,25,1,,318,,,6,,t
16,25,1,,321,,,6,,t
17,25,1,,322,1,,6,,t
18,25,1,,322,3,,6,,t
19,25,1,,346-bis,,,6,,t
20,25,1,,314,1,,6,8,t
21,25,1,,316,,,6,8,t
22,25,1,,323,,,6,8,t
23,25,2,,319,,,6,,t
24,25,2,,319-ter,1,,6,,t
25,25,2,,321,,,6,,t
26,25,2,,322,2,,6,,t
27,25,2,,322,4,,6,,t
28,25,3,,317,,,6,,t
29,25,3,,319,,,6,9,t
30,25,3,,319-ter,2,,6,,t
31,25,3,,319-quater,,,6,,t
32,25,3,,321,,,6,,t
33,25-bis,1,,453,,,6,,t
34,25-bis,1,,454,,,6,,t
35,25-bis,1,,460,,,6,,t
36,25-bis,1,,461,,,6,,t
37,25-bis,1,,455,,,6,,t
38,25-bis,1,,457,,,6,,t
39,25-bis,1,,464,2,,6,,t
40,25-bis,1,,459,,,6,,t
41,25-bis,1,,464,1,,6,,t
42,25-bis,1,,473,,,6,,t
43,25-bis,1,,474,,,6,,t
44,24-bis,1,,615-ter,,,6,,t
45,24-bis,1,,617-quater,,,6,,t
46,24-bis,1,,617-quinquies,,,6,,t
47,24-bis,1,,635-bis,,,6,,t
48,24-bis,1,,635-ter,,,6,,t
49,24-bis,1,,635-quater,,,6,,t
50,24-bis,1,,635-quinquies,,,6,,t
51,24-bis,2,,615-quater,,,6,,t
52,24-bis,2,,615-quinquies,,,6,,t
53,24-bis,3,,491-bis,,,6,,t
54,24-bis,3,,640-quinquies,,,6,,t
55,24-bis,3,,1,11,,32,,t
56,24-ter,2,,416,1,,6,,t
57,24-ter,2,,416,2,,6,,t
58,24-ter,2,,416,3,,6,,t
59,24-ter,2,,416,4,,6,,t
60,24-ter,2,,416,5,,6,,t
61,24-ter,2,,416,7,,6,,t
62,24-ter,2,,407,2,a,54,12,t
63,24-ter,1,,416,6,,6,,t
64,24-ter,1,,416-bis,,,6,,t
65,24-ter,1,,416-ter,,,6,,t
66,24-ter,1,,630,,,6,,t
67,24-ter,1,,74,,,51,,t
68,25-bis.1,1,,513,,,6,,t
69,25-bis.1,1,,515,,,6,,t
70,25-bis.1,1,,516,,,6,,t
71,25-bis.1,1,,517,,,6,,t
72,25-bis.1,1,,517-ter,,,6,,t
73,25-bis.1,1,,517-quater,,,6,,t
74,25-bis.1,2,,513-bis,,,6,,t
75,25-bis.1,2,,514,,,6,,t
76,25-ter,1,a,2621,,,69,,t
77,25-ter,1,a-bis,2621-bis,,,69,,t
78,25-ter,1,b,2622,,,69,,t
79,25-ter,1,d,2623,1,,69,,t
80,25-ter,1,e,2623,2,,69,,t
81,25-ter,1,f,2624,1,,69,,t
82,25-ter,1,g,2624,2,,69,,t
83,25-ter,1,h,2625,2,,69,,t
84,25-ter,1,i,2632,,,69,,t
85,25-ter,1,l,2626,,,69,,t
86,25-ter,1,m,2627,,,69,,t
87,25-ter,1,n,2628,,,69,,t
88,25-ter,1,o,2629,,,69,,t
89,25-ter,1,p,2633,,,69,,t
90,25-ter,1,q,2636,,,69,,t
91,25-ter,1,r,2637,,,69,,t
92,25-ter,1,r,2629-bis,,,69,,t
93,25-ter,1,s,2638,1,,69,,t
94,25-ter,1,s,2638,2,,69,,t
95,25-ter,1,s-bis,2635,3,,69,,t
96,25-ter,1,s-bis,2635-bis,1,,69,,t
97,25-ter,1,a,2621,,,69,13,t
98,25-ter,1,a-bis,2621-bis,,,69,13,t
99,25-ter,1,b,2622,,,69,13,t
100,25-ter,1,d,2623,1,,69,13,t
101,25-ter,1,e,2623,2,,69,13,t
102,25-ter,1,f,2624,1,,69,13,t
103,25-ter,1,g,2624,2,,69,13,t
104,25-ter,1,h,2625,2,,69,13,t
105,25-ter,1,i,2632,,,69,13,t
106,25-ter,1,l,2626,,,69,13,t
107,25-ter,1,m,2627,,,69,13,t
108,25-ter,1,n,2628,,,69,13,t
109,25-ter,1,o,2629,,,69,13,t
110,25-ter,1,p,2633,,,69,13,t
111,25-ter,1,q,2636,,,69,13,t
112,25-ter,1,r,2637,,,69,13,t
113,25-ter,1,r,2629-bis,,,69,13,t
114,25-ter,1,s,2638,1,,69,13,t
115,25-ter,1,s,2638,2,,69,13,t
116,25-ter,1,s-bis,2635,3,,69,13,t
117,25-ter,1,s-bis,2635-bis,,,69,13,t
118,25-quater.1,,,583-bis,,,6,,t
119,25-quater.1,,,583-bis,,,6,14,t
120,25-quinquies,1,a,600,,,6,,t
121,25-quinquies,1,a,601,,,6,,t
122,25-quinquies,1,a,602,,,6,,t
123,25-quinquies,1,a,603-bis,,,6,,t
124,25-quinquies,1,b,600-bis,1,,6,,t
125,25-quinquies,1,b,600-ter,1,,6,,t
126,25-quinquies,1,b,600-ter,2,,6,,t
127,25-quinquies,1,c,600-bis,2,,6,,t
128,25-quinquies,1,c,600-ter,3,,6,,t
129,25-quinquies,1,c,600-ter,4,,6,,t
130,25-quinquies,1,c,600-quater,,,6,,t
131,25-quinquies,1,c,609-undecies,,,6,,t
132,25-quinquies,1,a,600,,,6,14,t
133,25-quinquies,1,a,601,,,6,14,t
134,25-quinquies,1,a,602,,,6,14,t
135,25-quinquies,1,a,603-bis,,,6,14,t
136,25-quinquies,1,b,600-bis,1,,6,14,t
137,25-quinquies,1,b,600-ter,1,,6,14,t
138,25-quinquies,1,b,600-ter,2,,6,14,t
139,25-quinquies,1,c,600-bis,2,,6,14,t
140,25-quinquies,1,c,600-ter,3,,6,14,t
141,25-quinquies,1,c,600-ter,4,,6,14,t
142,25-quinquies,1,c,600-quater,,,6,14,t
143,25-quinquies,1,c,609-undecies,,,6,14,t
144,25-sexies,1,,184,,,77,,t
145,25-sexies,1,,185,,,77,,t
146,25-sexies,2,,184,,,77,14,t
147,25-sexies,2,,185,,,77,14,t
148,25-septies,1,,589,,,6,,t
149,25-septies,2,,589,,,6,,t
150,25-septies,3,,590,,,6,,t
151,25-octies,1,,648,,,6,,t
152,25-octies,1,,648-bis,,,6,,t
153,25-octies,1,,648-ter,,,6,,t
154,25-octies,1,,648-ter.1,,,6,,t
155,25-octies,1,,648,,,6,15,t
156,25-octies,1,,648-bis,,,6,15,t
157,25-octies,1,,648-ter,,,6,15,t
158,25-octies,1,,648-ter.1,,,6,15,t
159,25-novies,1,,171,1,a-bis,103,,t
160,25-novies,1,,171,3,,103,,t
161,25-novies,1,,171-bis,,,103,,t
162,25-novies,1,,171-ter,,,103,,t
163,25-novies,1,,171-septies,,,103,,t
164,25-novies,1,,171-octies,,,103,,t
165,25-decies,1,,377-bis,,,6,,t
166,25-undecies,1,a,452-bis,,,6,,t
167,25-undecies,1,b,452-quater,,,6,,t
168,25-undecies,1,c,452-quinquies,,,6,,t
169,25-undecies,1,e,452-sexies,,,6,,t
170,25-undecies,1,d,452-octies,,,6,,t
171,25-undecies,1,f,727-bis,,,6,,t
172,25-undecies,1,g,733-bis,,,6,,t
173,25-undecies,2,a,137,3,,117,,t
174,25-undecies,2,a,137,5,1,117,,t
175,25-undecies,2,a,137,13,,117,,t
176,25-undecies,2,a,137,2,,117,,t
177,25-undecies,2,a,137,5,2,117,,t
178,25-undecies,2,a,137,11,,117,,t
179,25-undecies,2,b,256,1,a,117,,t
180,25-undecies,2,b,256,6,1,117,,t
181,25-undecies,2,b,256,1,b,117,,t
182,25-undecies,2,b,256,3,1,117,,t
183,25-undecies,2,b,256,5,,117,,t
184,25-undecies,2,b,256,3,2,117,,t
185,25-undecies,2,c,257,1,,117,,t
186,25-undecies,2,c,257,2,,117,,t
187,25-undecies,2,d,258,4,,117,,t
188,25-undecies,2,e,259,1,,117,,t
189,25-undecies,2,f,452-quaterdecies,1,,6,,t
190,25-undecies,2,f,452-quaterdecies,2,,6,,t
191,25-undecies,2,g,260-bis,6,,117,,t
192,25-undecies,2,g,260-bis,7,,117,,t
193,25-undecies,2,g,260-bis,8,1,117,,t
194,25-undecies,2,g,260-bis,8,2,117,,t
195,25-undecies,2,h,279,5,,117,,t
196,25-undecies,3,a,1,1,,129,,t
197,25-undecies,3,a,2,1,,129,,t
198,25-undecies,3,a,2,2,,129,,t
199,25-undecies,3,a,6,4,,129,,t
200,25-undecies,3,b,1,2,,129,,t
201,25-undecies,3,c,3-bis,1,,129,,t
202,25-undecies,4,,3,6,,134,,t
203,25-undecies,5,a,9,1,,135,,t
204,25-undecies,5,b,8,1,,135,,t
205,25-undecies,5,b,9,2,,135,,t
206,25-undecies,5,c,8,2,,135,,t
207,25-undecies,8,,452-quaterdecies,,,6,14,t
208,25-undecies,8,,8,,,135,14,t
209,25-duodecies,1,,22,12-bis,,137,,t
210,25-duodecies,1-bis,,12,3,,137,,t
211,25-duodecies,1-bis,,12,3-bis,,137,,t
212,25-duodecies,1-bis,,12,3-ter,,137,,t
213,25-duodecies,1-ter,,12,5,,137,,t
214,25-terdecies,,,604-bis,,,6,,t
215,25-terdecies,,,604-bis,,,6,14,t
216,25-quaterdecies,1,,1,,,142,,t
217,25-quaterdecies,1,,4,,,142,,t
218,25-quinquiesdecies,1,a,2,1,,156,,t
219,25-quinquiesdecies,1,b,2,2-bis,,156,,t
220,25-quinquiesdecies,1,c,3,,,156,,t
221,25-quinquiesdecies,1,d,8,1,,156,,t
222,25-quinquiesdecies,1,e,8,2-bis,,156,,t
223,25-quinquiesdecies,1,f,10,,,156,,t
224,25-quinquiesdecies,1,g,11,,,156,,t
225,25-quinquiesdecies,1-bis,a,4,,,156,,t
226,25-quinquiesdecies,1-bis,b,5,,,156,,t
227,25-quinquiesdecies,1-bis,c,10-quater,,,156,,t
228,25-quinquiesdecies,1,a,2,1,,156,13,t
229,25-quinquiesdecies,1,b,2,2-bis,,156,13,t
230,25-quinquiesdecies,1,c,3,,,156,13,t
231,25-quinquiesdecies,1,d,8,1,,156,13,t
232,25-quinquiesdecies,1,e,8,2-bis,,156,13,t
233,25-quinquiesdecies,1,f,10,,,156,13,t
234,25-quinquiesdecies,1,g,11,,,156,13,t
235,25-quinquiesdecies,1-bis,a,4,,,156,13,t
236,25-quinquiesdecies,1-bis,b,5,,,156,13,t
237,25-quinquiesdecies,1-bis,c,10-quater,,,156,13,t
238,25-sexiesdecies,1,,282,,,160,,t
239,25-sexiesdecies,1,,283,,,160,,t
240,25-sexiesdecies,1,,284,,,160,,t
241,25-sexiesdecies,1,,285,,,160,,t
242,25-sexiesdecies,1,,286,,,160,,t
243,25-sexiesdecies,1,,287,,,160,,t
244,25-sexiesdecies,1,,288,,,160,,t
245,25-sexiesdecies,1,,289,,,160,,t
246,25-sexiesdecies,1,,290,,,160,,t
247,25-sexiesdecies,1,,291,,,160,,t
248,25-sexiesdecies,1,,291-bis,,,160,,t
249,25-sexiesdecies,1,,291-ter,,,160,,t
250,25-sexiesdecies,1,,291-quater,,,160,,t
251,25-sexiesdecies,1,,292,,,160,,t
252,25-sexiesdecies,1,,293,,,160,,t
253,25-sexiesdecies,1,,294,,,160,,t
254,25-sexiesdecies,1,,295,,,160,,t
255,25-sexiesdecies,1,,296,,,160,,t
256,25-sexiesdecies,2,,282,,,160,16,t
257,25-sexiesdecies,2,,283,,,160,16,t
258,25-sexiesdecies,2,,284,,,160,16,t
259,25-sexiesdecies,2,,285,,,160,16,t
260,25-sexiesdecies,2,,286,,,160,16,t
261,25-sexiesdecies,2,,287,,,160,16,t
262,25-sexiesdecies,2,,288,,,160,16,t
263,25-sexiesdecies,2,,289,,,160,16,t
264,25-sexiesdecies,2,,290,,,160,16,t
265,25-sexiesdecies,2,,291,,,160,16,t
266,25-sexiesdecies,2,,291-bis,,,160,16,t
267,25-sexiesdecies,2,,291-ter,,,160,16,t
268,25-sexiesdecies,2,,291-quater,,,160,16,t
269,25-sexiesdecies,2,,292,,,160,16,t
270,25-sexiesdecies,2,,293,,,160,16,t
271,25-sexiesdecies,2,,294,,,160,16,t
272,25-sexiesdecies,2,,295,,,160,16,t
273,25-sexiesdecies,2,,296,,,160,16,t
274,25-quater,1,a,270-quater.1,,,6,,t
275,25-quater,1,a,270-quinquies,,,6,,t
276,25-quater,1,a,270-quinquies.2,,,6,,t
277,25-quater,1,b,270-bis,,,6,,t
278,25-quater,1,b,270-quater,,,6,,t
279,25-quater,1,b,270-quinquies.1,,,6,,t
280,25-quater,1,b,280,,,6,,t
281,25-quater,1,b,280-bis,,,6,,t
282,25-quater,1,b,280-ter,,,6,,t
283,25-quater,1,b,289-bis,,,6,,t
284,25-quater,3,,270-quater.1,,,6,14,t
285,25-quater,3,,270-quinquies,,,6,14,t
286,25-quater,3,,270-quinquies.2,,,6,14,t
287,25-quater,3,,270-bis,,,6,14,t
288,25-quater,3,,270-quater,,,6,14,t
289,25-quater,3,,270-quinquies.1,,,6,14,t
290,25-quater,3,,280,,,6,14,t
291,25-quater,3,,280-bis,,,6,14,t
292,25-quater,3,,280-ter,,,6,14,t
293,25-quater,3,,289-bis,,,6,14,t
