codsan,codrpp,codart,valmin,valmax,recatt
1,1,31,100,500,t
2,2,31,100,500,t
3,3,31,100,500,t
4,4,31,100,500,t
5,5,31,100,500,t
6,6,31,100,500,t
7,7,31,100,500,t
8,8,31,200,600,t
9,9,31,200,600,t
10,10,31,200,600,t
11,11,31,200,600,t
12,12,31,200,600,t
13,13,31,200,600,t
14,14,31,200,600,t
15,1,38,3,24,t
16,2,38,3,24,t
17,3,38,3,24,t
18,4,38,3,24,t
19,5,38,3,24,t
20,6,38,3,24,t
21,7,38,3,24,t
22,8,38,3,24,t
23,9,38,3,24,t
24,10,38,3,24,t
25,11,38,3,24,t
26,12,38,3,24,t
27,13,38,3,24,t
28,14,38,3,24,t
29,1,39,3,24,t
30,2,39,3,24,t
31,3,39,3,24,t
32,4,39,3,24,t
33,5,39,3,24,t
34,6,39,3,24,t
35,7,39,3,24,t
36,8,39,3,24,t
37,9,39,3,24,t
38,10,39,3,24,t
39,11,39,3,24,t
40,12,39,3,24,t
41,13,39,3,24,t
42,14,39,3,24,t
43,1,40,3,24,t
44,2,40,3,24,t
45,3,40,3,24,t
46,4,40,3,24,t
47,5,40,3,24,t
48,6,40,3,24,t
49,7,40,3,24,t
50,8,40,3,24,t
51,9,40,3,24,t
52,10,40,3,24,t
53,11,40,3,24,t
54,12,40,3,24,t
55,13,40,3,24,t
56,14,40,3,24,t
57,1,33,,,t
58,2,33,,,t
59,3,33,,,t
60,4,33,,,t
61,5,33,,,t
62,6,33,,,t
63,7,33,,,t
64,8,33,,,t
65,9,33,,,t
66,10,33,,,t
67,11,33,,,t
68,12,33,,,t
69,13,33,,,t
70,14,33,,,t
71,1,34,,,t
72,2,34,,,t
73,3,34,,,t
74,4,34,,,t
75,5,34,,,t
76,6,34,,,t
77,7,34,,,t
78,8,34,,,t
79,9,34,,,t
80,10,34,,,t
81,11,34,,,t
82,12,34,,,t
83,13,34,,,t
84,14,34,,,t
85,15,31,100,200,t
86,16,31,100,200,t
87,17,31,100,200,t
88,18,31,100,200,t
89,19,31,100,200,t
90,20,31,100,200,t
91,21,31,100,200,t
92,22,31,100,200,t
93,23,31,200,600,t
94,24,31,200,600,t
95,25,31,200,600,t
96,26,31,200,600,t
97,27,31,200,600,t
98,28,31,300,800,t
99,29,31,300,800,t
100,30,31,300,800,t
101,31,31,300,800,t
102,32,31,300,800,t
103,23,36,48,84,t
104,24,36,48,84,t
105,25,36,48,84,t
106,26,36,48,84,t
107,27,36,48,84,t
108,28,36,48,84,t
109,29,36,48,84,t
110,30,36,48,84,t
111,31,36,48,84,t
112,32,36,48,84,t
113,23,37,48,84,t
114,24,37,48,84,t
115,25,37,48,84,t
116,26,37,48,84,t
117,27,37,48,84,t
118,28,37,48,84,t
119,29,37,48,84,t
120,30,37,48,84,t
121,31,37,48,84,t
122,32,37,48,84,t
123,23,38,48,84,t
124,24,38,48,84,t
125,25,38,48,84,t
126,26,38,48,84,t
127,27,38,48,84,t
128,28,38,48,84,t
129,29,38,48,84,t
130,30,38,48,84,t
131,31,38,48,84,t
132,32,38,48,84,t
133,23,39,48,84,t
134,24,39,48,84,t
135,25,39,48,84,t
136,26,39,48,84,t
137,27,39,48,84,t
138,28,39,48,84,t
139,29,39,48,84,t
140,30,39,48,84,t
141,31,39,48,84,t
142,32,39,48,84,t
143,23,40,48,84,t
144,24,40,48,84,t
145,25,40,48,84,t
146,26,40,48,84,t
147,27,40,48,84,t
148,28,40,48,84,t
149,29,40,48,84,t
150,30,40,48,84,t
151,31,40,48,84,t
152,32,40,48,84,t
153,23,33,,,t
154,24,33,,,t
155,25,33,,,t
156,26,33,,,t
157,27,33,,,t
158,28,33,,,t
159,29,33,,,t
160,30,33,,,t
161,31,33,,,t
162,32,33,,,t
163,23,34,,,t
164,24,34,,,t
165,25,34,,,t
166,26,34,,,t
167,27,34,,,t
168,28,34,,,t
169,29,34,,,t
170,30,34,,,t
171,31,34,,,t
172,32,34,,,t
173,33,31,300,800,t
174,34,31,100,500,t
175,35,31,100,500,t
176,36,31,100,500,t
177,37,31,300,800,t
178,38,31,100,200,t
179,39,31,100,200,t
180,40,31,100,350,t
181,41,31,100,300,t
182,42,31,100,500,t
183,43,31,100,500,t
184,33,36,3,12,t
185,34,36,3,12,t
186,35,36,3,12,t
187,36,36,3,12,t
188,37,36,3,12,t
189,40,36,3,12,t
190,42,36,3,12,t
191,43,36,3,12,t
192,33,37,3,12,t
193,34,37,3,12,t
194,35,37,3,12,t
195,36,37,3,12,t
196,37,37,3,12,t
197,40,37,3,12,t
198,42,37,3,12,t
199,43,37,3,12,t
200,33,38,3,12,t
201,34,38,3,12,t
202,35,38,3,12,t
203,36,38,3,12,t
204,37,38,3,12,t
205,40,38,3,12,t
206,42,38,3,12,t
